response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
7.3869,0.5789,0.0294,0.0001,6.8077,0.0002,503,0.0029
7.3901,0.5629,0.0295,0.0001,6.8270,0.0001,503,0.0028
7.3906,0.5540,0.0296,0.0001,6.8363,0.0002,503,0.0024
7.3903,0.6051,0.0295,0.0000,6.7850,0.0002,503,0.0027
7.3906,0.6076,0.0284,0.0001,6.7827,0.0002,503,0.0025
7.3918,0.6039,0.0296,0.0001,6.7878,0.0000,503,0.0027
7.3949,0.5806,0.0287,0.0001,6.8140,0.0002,503,0.0031
7.3961,0.6105,0.0289,0.0001,6.7855,0.0001,503,0.0032
7.3965,0.6132,0.0294,0.0001,6.7831,0.0001,503,0.0029
7.3975,0.5543,0.0298,0.0001,6.8428,0.0001,503,0.0019
7.3965,0.6177,0.0294,0.0001,6.7786,0.0001,503,0.0029
7.3985,0.6027,0.0297,0.0001,6.7955,0.0001,503,0.0027
7.3982,0.6171,0.0290,0.0001,6.7809,0.0001,503,0.0031
7.4015,0.5877,0.0296,0.0001,6.8137,0.0001,503,0.0024
7.4018,0.5938,0.0299,0.0001,6.8078,0.0001,503,0.0023
5.7610,0.6894,0.1607,0.0000,5.0714,0.0001,500,4.9332
4.2169,0.5911,0.0660,0.0001,3.6255,0.0001,500,6.7303
4.2283,0.5689,0.0020,0.0001,3.6592,0.0001,500,6.7282
4.2540,0.5740,0.0070,0.0000,3.6798,0.0001,500,6.7234
5.9952,0.5713,0.0202,0.0001,5.4236,0.0001,500,5.6215
5.9957,0.5718,0.0206,0.0000,5.4237,0.0001,500,5.6211
5.9951,0.5709,0.0198,0.0000,5.4241,0.0001,500,5.6220
6.0142,0.5822,0.0312,0.0001,5.4317,0.0001,500,5.6105
6.0172,0.5845,0.0335,0.0001,5.4324,0.0001,500,5.6082
4.7957,0.5151,0.0155,0.0001,4.2802,0.0002,500,7.1267
4.7918,0.5075,0.0007,0.0001,4.2841,0.0001,500,7.1414
4.7588,0.5909,0.1139,0.0001,4.1670,0.0007,500,7.1808
4.8160,0.5207,0.0140,0.0001,4.2951,0.0001,500,7.1281
4.6231,0.4705,0.0302,0.0001,4.1523,0.0001,500,7.3413
5.2483,0.5714,0.0045,0.0001,4.6766,0.0002,500,6.7259
5.3809,0.6943,0.1273,0.0001,4.6864,0.0001,500,6.6032
5.2757,0.6031,0.0002,0.0001,4.6723,0.0001,500,6.7302
5.2909,0.5832,0.0065,0.0001,4.7074,0.0001,500,6.7240
6.9529,0.5630,0.0121,0.0001,6.3897,0.0001,500,5.6295
6.9971,0.5674,0.0205,0.0001,6.4295,0.0002,500,5.6212
7.2196,0.5716,0.0207,0.0001,6.6478,0.0001,503,5.6210
7.2234,0.5672,0.0163,0.0001,6.6560,0.0001,503,5.6255
7.2420,0.5713,0.0203,0.0001,6.6703,0.0001,503,5.6213
7.2618,0.5880,0.0369,0.0000,6.6737,0.0001,503,5.6048
7.2523,0.5716,0.0205,0.0001,6.6804,0.0001,503,5.6211
5.6326,0.4590,0.0175,0.0001,5.1734,0.0001,500,7.3541
6.2630,0.6066,0.0028,0.0001,5.6561,0.0001,500,6.7274
5.6422,0.4620,0.0228,0.0001,5.1800,0.0001,500,7.3487
5.6827,0.4704,0.0103,0.0001,5.2121,0.0001,500,7.3231
6.2776,0.5714,0.0001,0.0000,5.7061,0.0001,500,6.7302
5.8032,0.5636,0.0823,0.0001,5.2393,0.0001,500,7.2123
5.8206,0.5964,0.0969,0.0001,5.2240,0.0001,500,7.1977
6.2954,0.5733,0.0065,0.0001,5.7219,0.0001,500,6.7240
5.6916,0.4565,0.0056,0.0001,5.2348,0.0001,500,7.3278
5.8451,0.5595,0.1054,0.0001,5.2853,0.0001,500,7.1892
5.8587,0.6172,0.1178,0.0000,5.2413,0.0001,500,7.1768
5.6625,0.4808,0.0358,0.0001,5.1814,0.0001,500,7.3993
5.8590,0.5047,0.0881,0.0001,5.3541,0.0001,500,7.2065
6.8965,0.5898,0.0031,0.0001,6.3064,0.0001,500,6.7274
6.9094,0.5690,0.0020,0.0001,6.3402,0.0001,500,6.7284
7.0559,0.4171,0.0030,0.0001,6.6384,0.0001,503,6.7274
7.2251,0.5699,0.0031,0.0001,6.6550,0.0001,503,6.7274
7.2296,0.5688,0.0021,0.0001,6.6606,0.0001,503,6.7283
7.2426,0.5696,0.0027,0.0001,6.6727,0.0001,503,6.7277
7.2467,0.5732,0.0020,0.0001,6.6733,0.0001,503,6.7284
6.5870,0.4998,0.0404,0.0001,6.0870,0.0001,500,7.3946
6.6595,0.4950,0.0053,0.0001,6.1642,0.0001,500,7.3278
7.2739,0.5692,0.0020,0.0000,6.7045,0.0001,503,6.7283
7.4011,0.7360,0.1253,0.0000,6.6648,0.0001,503,6.6052
7.2832,0.5799,0.0031,0.0001,6.7030,0.0001,503,6.7274
7.2830,0.5790,0.0023,0.0001,6.7037,0.0002,503,6.7282
7.2839,0.5825,0.0032,0.0001,6.7011,0.0002,503,6.7274
7.2873,0.5948,0.0022,0.0001,6.6923,0.0001,503,6.7283
7.3048,0.6058,0.0049,0.0001,6.6987,0.0001,503,6.7255
7.3047,0.5917,0.0029,0.0001,6.7127,0.0001,503,6.7275
7.1857,0.5243,0.0087,0.0001,6.6612,0.0001,503,7.1335
7.2149,0.5426,0.0305,0.0001,6.6720,0.0001,503,7.1116
7.0457,0.4050,0.0004,0.0001,6.6405,0.0001,503,7.2940
7.1778,0.5307,0.1136,0.0001,6.6469,0.0001,503,7.1810
7.1913,0.5414,0.1103,0.0001,6.6496,0.0002,503,7.1842
7.2026,0.5607,0.1067,0.0002,6.6415,0.0001,503,7.1880
7.1271,0.4801,0.0317,0.0001,6.6467,0.0001,503,7.3017
7.2459,0.5850,0.1105,0.0001,6.6606,0.0002,503,7.1842
7.2523,0.5932,0.1105,0.0001,6.6589,0.0001,503,7.1842
7.1074,0.4580,0.0357,0.0001,6.6491,0.0001,503,7.3360
7.1305,0.4721,0.0166,0.0001,6.6581,0.0001,503,7.3167
7.1421,0.4657,0.0057,0.0001,6.6762,0.0001,503,7.3277
7.2723,0.5752,0.0962,0.0001,6.6969,0.0001,503,7.1985
7.2924,0.5923,0.1105,0.0001,6.6997,0.0002,503,7.1841
7.1617,0.4722,0.0055,0.0001,6.6892,0.0001,503,7.3278
7.1495,0.4710,0.0264,0.0001,6.6783,0.0001,503,7.3451
7.1386,0.4498,0.0142,0.0001,6.6886,0.0001,503,7.3573
7.3228,0.6243,0.1215,0.0001,6.6982,0.0001,503,7.1732
7.1734,0.4816,0.0083,0.0001,6.6915,0.0002,503,7.3250
7.1156,0.4294,0.0356,0.0001,6.6860,0.0001,503,7.3994
7.2261,0.5038,0.0362,0.0001,6.7221,0.0001,503,7.2971
7.2189,0.4860,0.0259,0.0001,6.7327,0.0001,503,7.3074
7.1329,0.4431,0.0337,0.0001,6.6895,0.0001,503,7.4013
7.2328,0.5150,0.0269,0.0001,6.7176,0.0002,503,7.3062
7.1979,0.4763,0.0305,0.0001,6.7214,0.0001,503,7.3412
7.1979,0.4888,0.0303,0.0001,6.7088,0.0001,503,7.3413
7.1398,0.4576,0.0357,0.0001,6.6818,0.0002,503,7.3994
7.2003,0.4860,0.0304,0.0001,6.7140,0.0001,503,7.3412
7.1415,0.4592,0.0309,0.0001,6.6821,0.0001,503,7.4041
7.1526,0.4864,0.0421,0.0001,6.6658,0.0002,503,7.3930
7.1617,0.4667,0.0454,0.0001,6.6947,0.0002,503,7.3898
7.1548,0.4592,0.0357,0.0001,6.6953,0.0001,503,7.3994
7.1629,0.4794,0.0310,0.0001,6.6831,0.0001,503,7.4040
7.2726,0.5071,0.0359,0.0001,6.7654,0.0001,503,7.2973
7.2699,0.5032,0.0316,0.0001,6.7664,0.0002,503,7.3017
7.3732,0.5986,0.0961,0.0001,6.7744,0.0001,503,7.1984
7.1787,0.4952,0.0422,0.0001,6.6832,0.0001,503,7.3929
7.2614,0.4949,0.0212,0.0001,6.7663,0.0001,503,7.3121
7.2813,0.5236,0.0362,0.0001,6.7575,0.0001,503,7.2970
7.1868,0.5007,0.0422,0.0001,6.6860,0.0001,503,7.3930
7.1990,0.5223,0.0476,0.0001,6.6763,0.0002,503,7.3876
7.1951,0.5203,0.0421,0.0001,6.6746,0.0001,503,7.3931
7.1902,0.5135,0.0371,0.0001,6.6764,0.0001,503,7.3980
7.2084,0.5443,0.0338,0.0001,6.6639,0.0001,503,7.4012
7.2518,0.5879,0.0454,0.0001,6.6637,0.0001,503,7.3898
2.0169,0.4360,0.0206,0.0001,1.5806,0.0001,500,14.0022
2.0085,0.4419,0.0117,0.0001,1.5664,0.0001,500,14.0113
4.0993,0.4357,0.0295,0.0001,3.6633,0.0001,500,11.9223
2.6016,0.4271,0.0119,0.0001,2.1743,0.0001,500,14.3398
4.9982,0.4290,0.0077,0.0001,4.5690,0.0001,500,11.9441
2.4034,0.4699,0.0074,0.0001,1.9333,0.0001,500,14.5391
2.6233,0.4806,0.0325,0.0001,2.1424,0.0001,500,14.3192
2.4054,0.4513,0.0009,0.0001,1.9538,0.0001,500,14.5456
