response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.3914,0.9547,0.0014,0.0001,0.4365,0.0001,400,0.0026
1.3918,0.9549,0.0012,0.0001,0.4365,0.0001,400,0.0022
1.3908,0.9540,0.0007,0.0001,0.4366,0.0001,400,0.0032
1.4015,0.9585,0.0009,0.0001,0.4427,0.0002,400,0.0029
1.4022,0.9592,0.0013,0.0000,0.4426,0.0002,400,0.0022
1.4017,0.9588,0.0010,0.0001,0.4427,0.0001,400,0.0028
1.4350,0.9924,0.0023,0.0001,0.4376,0.0050,400,0.0029
1.4428,0.9869,0.0013,0.0001,0.4432,0.0125,400,0.0027
1.4676,0.9978,0.0024,0.0000,0.4584,0.0114,400,0.0034
0.8954,0.4377,0.0006,0.0001,0.4575,0.0001,400,0.5793
1.4719,0.9986,0.0015,0.0000,0.4694,0.0038,400,0.0027
1.4714,0.9978,0.0023,0.0001,0.4638,0.0097,400,0.0033
1.4730,0.9991,0.0023,0.0001,0.4694,0.0041,400,0.0019
0.9027,0.4436,0.0007,0.0001,0.4589,0.0001,400,0.5792
0.9026,0.4436,0.0006,0.0000,0.4587,0.0002,400,0.5794
0.9184,0.4434,0.0006,0.0001,0.4747,0.0001,400,0.5859
0.9095,0.4436,0.0004,0.0001,0.4657,0.0001,400,0.5948
1.5090,1.0104,0.0013,0.0001,0.4910,0.0075,400,0.0028
0.9225,0.4504,0.0006,0.0001,0.4664,0.0055,400,0.5947
0.9153,0.4664,0.0006,0.0001,0.4486,0.0001,400,0.6080
0.9151,0.4916,0.0004,0.0001,0.4232,0.0001,400,0.6082
0.9038,0.4844,0.0006,0.0001,0.4192,0.0001,400,0.6246
0.9121,0.4933,0.0007,0.0001,0.4186,0.0001,400,0.6163
0.8907,0.4967,0.0008,0.0001,0.3937,0.0000,400,0.6378
0.9070,0.4946,0.0005,0.0001,0.4089,0.0033,400,0.6246
0.8877,0.4938,0.0007,0.0001,0.3904,0.0033,400,0.6440
0.9371,0.5145,0.0007,0.0000,0.4224,0.0001,400,0.5946
0.9237,0.5114,0.0006,0.0001,0.4121,0.0001,400,0.6080
0.8648,0.5067,0.0007,0.0000,0.3579,0.0001,400,0.6731
0.9133,0.5232,0.0007,0.0001,0.3900,0.0001,400,0.6246
1.5369,0.9986,0.0015,0.0000,0.5364,0.0019,400,0.0027
0.8853,0.5255,0.0007,0.0001,0.3595,0.0001,400,0.6544
0.8956,0.5359,0.0006,0.0000,0.3578,0.0018,400,0.6440
0.9361,0.5339,0.0007,0.0001,0.3811,0.0210,400,0.6245
1.5580,1.1769,0.0015,0.0001,0.3597,0.0212,400,0.0027
0.9230,0.5519,0.0008,0.0001,0.3709,0.0001,400,0.6378
0.9107,0.6319,0.0008,0.0001,0.2785,0.0001,400,0.6730
0.9286,0.6429,0.0007,0.0001,0.2854,0.0001,400,0.6620
0.9071,0.6224,0.0007,0.0001,0.2844,0.0001,400,0.6836
0.9002,0.6197,0.0010,0.0001,0.2803,0.0001,400,0.6905
0.9019,0.6281,0.0005,0.0001,0.2713,0.0024,400,0.6910
0.9094,0.6266,0.0007,0.0001,0.2826,0.0001,400,0.6835
0.9249,0.6416,0.0005,0.0001,0.2828,0.0005,400,0.6683
0.8930,0.6176,0.0009,0.0001,0.2697,0.0055,400,0.7053
0.9081,0.6330,0.0009,0.0001,0.2748,0.0001,400,0.6904
0.9057,0.6332,0.0000,0.0001,0.2719,0.0001,400,0.6928
0.8991,0.6289,0.0005,0.0001,0.2699,0.0002,400,0.7057
0.9121,0.6362,0.0005,0.0001,0.2757,0.0001,400,0.6927
0.9149,0.6414,0.0004,0.0000,0.2733,0.0001,400,0.6928
0.8991,0.6297,0.0007,0.0001,0.2692,0.0001,400,0.7086
0.8972,0.6327,0.0006,0.0000,0.2643,0.0002,400,0.7178
0.8936,0.6392,0.0009,0.0001,0.2541,0.0002,400,0.7215
0.9062,0.6330,0.0005,0.0000,0.2731,0.0001,400,0.7088
0.9133,0.6408,0.0007,0.0001,0.2685,0.0039,400,0.7056
0.9006,0.6423,0.0001,0.0001,0.2580,0.0002,400,0.7183
0.9052,0.6372,0.0007,0.0000,0.2678,0.0001,400,0.7138
0.9117,0.6571,0.0006,0.0001,0.2544,0.0002,400,0.7179
0.9081,0.6568,0.0006,0.0000,0.2510,0.0001,400,0.7217
0.9062,0.6602,0.0005,0.0001,0.2458,0.0001,400,0.7268
0.9116,0.6654,0.0008,0.0001,0.2460,0.0001,400,0.7215
0.9340,0.6788,0.0006,0.0001,0.2550,0.0001,400,0.7268
0.9393,0.6833,0.0001,0.0001,0.2553,0.0001,400,0.7216
0.9372,0.6789,0.0007,0.0009,0.2572,0.0001,400,0.7266
